pass,phase,successful_critical_requests,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
pass1,NORMAL,23,94.35,44.00,83.00,1176.00,1176.00
pass1,DEGRADED,15,154.73,57.00,1123.00,1123.00,1123.00
pass1,ISLANDED,14,156.64,69.00,1224.00,1224.00,1224.00
pass1,ISLANDED_MESH,13,157.23,67.00,1147.00,1147.00,1147.00
pass1,TRUST_AWARE_MESH,11,167.82,69.00,1108.00,1108.00,1108.00
pass1,INTER_ISLAND_MESH,32,36.16,26.00,97.00,104.00,104.00
pass1,REATTACH,11,57.45,45.00,172.00,172.00,172.00
pass1,NORMAL_RESTORED,23,41.26,37.00,112.00,133.00,133.00
pass1,ALL_PHASES,142,93.75,47.00,172.00,1176.00,1224.00
pass2,NORMAL,21,122.38,43.00,332.00,1094.00,1094.00
pass2,DEGRADED,20,73.75,45.00,162.00,202.00,202.00
pass2,ISLANDED,17,53.41,49.00,107.00,107.00,107.00
pass2,ISLANDED_MESH,16,75.25,62.00,156.00,156.00,156.00
pass2,TRUST_AWARE_MESH,5,413.00,113.00,1700.00,1700.00,1700.00
pass2,INTER_ISLAND_MESH,23,38.87,38.00,102.00,110.00,110.00
pass2,REATTACH,17,28.47,39.00,69.00,69.00,69.00
pass2,NORMAL_RESTORED,24,31.04,38.00,58.00,75.00,75.00
pass2,ALL_PHASES,143,72.34,45.00,139.00,1094.00,1700.00
pass3,NORMAL,25,123.72,66.00,295.00,1130.00,1130.00
pass3,DEGRADED,18,89.50,60.00,382.00,382.00,382.00
pass3,ISLANDED,18,89.39,80.00,170.00,170.00,170.00
pass3,ISLANDED_MESH,8,65.50,49.00,113.00,113.00,113.00
pass3,TRUST_AWARE_MESH,12,78.42,54.00,200.00,200.00,200.00
pass3,INTER_ISLAND_MESH,23,41.74,33.00,106.00,168.00,168.00
pass3,REATTACH,11,72.09,76.00,185.00,185.00,185.00
pass3,NORMAL_RESTORED,20,34.35,32.00,49.00,180.00,180.00
pass3,ALL_PHASES,135,75.69,52.00,180.00,382.00,1130.00
