pass,phase,duration_s,total_requests,success_count,blocked_count,success_rate_pct,block_rate_pct,avg_success_latency_ms,max_latency_ms
pass1,NORMAL,25.603,300,245,55,81.67,18.33,77.68,2038.00
pass1,DEGRADED,23.502,161,79,82,49.07,50.93,313.29,3027.00
pass1,ISLANDED,20.816,125,21,104,16.80,83.20,128.24,2042.00
pass1,ISLANDED_MESH,16.738,94,13,81,13.83,86.17,157.23,2030.00
pass1,TRUST_AWARE_MESH,14.354,85,11,74,12.94,87.06,167.82,2025.00
pass1,INTER_ISLAND_MESH,18.435,157,32,125,20.38,79.62,36.16,2339.00
pass1,REATTACH,26.674,239,115,124,48.12,51.88,123.17,3220.00
pass1,NORMAL_RESTORED,14.065,225,189,36,84.00,16.00,54.22,2025.00
pass2,NORMAL,26.805,323,263,60,81.42,18.58,82.35,2019.00
pass2,DEGRADED,23.376,171,90,81,52.63,47.37,316.56,3022.00
pass2,ISLANDED,19.713,111,22,89,19.82,80.18,52.77,2050.00
pass2,ISLANDED_MESH,17.752,100,16,84,16.00,84.00,75.25,2032.00
pass2,TRUST_AWARE_MESH,11.271,64,5,59,7.81,92.19,413.00,2028.00
pass2,INTER_ISLAND_MESH,14.111,118,23,95,19.49,80.51,38.87,2335.00
pass2,REATTACH,34.702,303,148,155,48.84,51.16,86.93,3837.00
pass2,NORMAL_RESTORED,14.039,210,171,39,81.43,18.57,53.12,2032.00
pass3,NORMAL,27.783,342,287,55,83.92,16.08,77.01,2045.00
pass3,DEGRADED,20.439,148,71,77,47.97,52.03,213.08,3027.00
pass3,ISLANDED,21.652,128,23,105,17.97,82.03,79.65,2030.00
pass3,ISLANDED_MESH,13.932,78,8,70,10.26,89.74,65.50,2114.00
pass3,TRUST_AWARE_MESH,14.271,80,12,68,15.00,85.00,78.42,2047.00
pass3,INTER_ISLAND_MESH,14.509,120,23,97,19.17,80.83,41.74,2368.00
pass3,REATTACH,35.727,293,114,179,38.91,61.09,73.27,3946.00
pass3,NORMAL_RESTORED,11.917,180,145,35,80.56,19.44,51.67,2023.00
