removal_fraction_q,scope,removed_elements,FSS,FSS_star_none_weight,MLDI,MLDI_star
0.0,critical_service_support,,1.0,0.86,,
0.0,zero_trust_policy_support,,1.0,0.8,,
0.0,recovery_orchestration_support,,1.0,0.8,,
0.0,cross_layer,,,,0.8,0.7111
0.05,critical_service_support,primary_edge_path,1.0,0.8667,,
0.05,zero_trust_policy_support,local_pdp,1.0,0.8,,
0.05,recovery_orchestration_support,edge_mode_controller,1.0,0.8,,
0.05,cross_layer,core_backhaul,,,0.7333,0.6812
0.1,critical_service_support,primary_edge_path,1.0,0.8667,,
0.1,zero_trust_policy_support,local_pdp,1.0,0.8,,
0.1,recovery_orchestration_support,edge_mode_controller,1.0,0.8,,
0.1,cross_layer,core_backhaul;local_pdp,,,0.6667,0.6473
0.2,critical_service_support,primary_edge_path,1.0,0.8667,,
0.2,zero_trust_policy_support,local_pdp,1.0,0.8,,
0.2,recovery_orchestration_support,edge_mode_controller,1.0,0.8,,
0.2,cross_layer,core_backhaul;critical_service;local_pdp,,,0.6667,0.655
0.3,critical_service_support,local_mec_critical_service;primary_edge_path,1.0,0.7333,,
0.3,zero_trust_policy_support,local_pdp;ovs_pep_rules,1.0,0.8,,
0.3,recovery_orchestration_support,edge_mode_controller;watch_agent,0.0,0.0,,
0.3,cross_layer,alert_service;core_backhaul;critical_service;local_pdp;ovs_pep,,,0.5333,0.6323
0.4,critical_service_support,local_mec_critical_service;primary_edge_path,1.0,0.7333,,
0.4,zero_trust_policy_support,local_pdp;ovs_pep_rules,1.0,0.8,,
0.4,recovery_orchestration_support,edge_mode_controller;watch_agent,0.0,0.0,,
0.4,cross_layer,alert_service;core_backhaul;critical_service;local_pdp;ovs_pep;primary_access_paths,,,0.4667,0.6114
0.5,critical_service_support,ap_mesh_fallback;local_mec_critical_service;primary_edge_path,1.0,0.8,,
0.5,zero_trust_policy_support,local_pdp;ovs_pep_rules,1.0,0.8,,
0.5,recovery_orchestration_support,edge_mode_controller;watch_agent,0.0,0.0,,
0.5,cross_layer,alert_service;ap_mesh_fallback;compiled_policy_cache;core_backhaul;critical_service;local_pdp;ovs_pep;primary_access_paths,,,0.4,0.5949
