t_rel_s,phase,actor,service,url,result,http_code,latency_ms,error
1.233,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,1120,
1.271,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,1196,
1.271,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,1153,
1.271,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,1176,
2.123,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,blocked,000,2012,curl: (28) Connection timeout after 2008 ms |
2.126,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2007,curl: (28) Connection timeout after 2001 ms |
2.127,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2009,curl: (28) Connection timeout after 2002 ms |
2.134,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,blocked,000,2005,curl: (28) Connection timeout after 2001 ms |
2.134,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,blocked,000,2006,curl: (28) Connection timeout after 2001 ms |
2.134,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,blocked,000,2008,curl: (28) Connection timeout after 2004 ms |
2.136,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,blocked,000,2005,curl: (28) Connection timeout after 2001 ms |
2.137,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,blocked,000,2006,curl: (28) Connection timeout after 2001 ms |
2.140,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,2008,curl: (28) Connection timeout after 2001 ms |
2.140,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2005,curl: (28) Connection timeout after 2001 ms |
2.166,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,2030,curl: (28) Connection timeout after 2022 ms |
2.334,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,95,
2.348,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,44,
2.348,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,45,
2.348,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,44,
3.172,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,41,
3.192,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,60,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 55 ms: No route to host |
3.191,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,52,
3.192,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,52,
3.192,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,blocked,000,52,curl: (7) Failed to connect to 10.0.0.31 port 8000 after 48 ms: No route to host |
3.191,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,49,curl: (7) Failed to connect to 10.0.0.31 port 8000 after 43 ms: No route to host |
3.192,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,48,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 45 ms: No route to host |
3.192,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,blocked,000,52,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 47 ms: No route to host |
3.192,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,61,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 54 ms: No route to host |
3.192,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,blocked,000,53,curl: (7) Failed to connect to 10.0.0.10 port 8000 after 46 ms: No route to host |
3.269,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,99,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 94 ms: No route to host |
3.386,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,48,
3.394,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,43,
