phase,actor,service,expected,total_requests,success_count,blocked_count,pass_count,scored_requests,pass_rate_pct,avg_success_latency_ms,max_latency_ms
NORMAL,zt_attacker,svc_alert,success,19,15,4,15,19,78.95,129.20,2015.00
NORMAL,zt_attacker,svc_critical,success,12,0,12,0,12,0.00,0.00,2038.00
NORMAL,zt_attacker,svc_external,success,19,15,4,15,19,78.95,124.60,2030.00
NORMAL,zt_civilian_user,svc_central_identity,success,22,21,1,21,22,95.45,53.29,2005.00
NORMAL,zt_civilian_user,svc_critical,success,13,0,13,0,13,0.00,0.00,2037.00
NORMAL,zt_civilian_user,svc_external,success,22,21,1,21,22,95.45,53.19,2008.00
NORMAL,zt_civilian_user,svc_noncritical,success,22,21,1,21,22,95.45,53.05,2012.00
NORMAL,zt_responder,svc_alert,success,23,23,0,23,23,100.00,94.35,1176.00
NORMAL,zt_responder,svc_central_identity,success,23,23,0,23,23,100.00,95.39,1196.00
NORMAL,zt_responder,svc_critical,success,13,0,13,0,13,0.00,0.00,2037.00
NORMAL,zt_responder,svc_external,success,23,23,0,23,23,100.00,94.39,1120.00
NORMAL,zt_responder,svc_noncritical,success,23,23,0,23,23,100.00,93.00,1153.00
NORMAL,zt_sensor,svc_alert,success,22,20,2,20,22,90.91,53.65,2006.00
NORMAL,zt_sensor,svc_central_identity,success,22,20,2,20,22,90.91,52.60,2006.00
NORMAL,zt_sensor,svc_external,success,22,20,2,20,22,90.91,53.80,2005.00
DEGRADED,zt_attacker,svc_alert,skip,9,3,6,,,,41.00,2032.00
DEGRADED,zt_attacker,svc_critical,blocked,10,0,10,10,10,100.00,0.00,2014.00
DEGRADED,zt_attacker,svc_external,skip,9,3,6,,,,43.00,2032.00
DEGRADED,zt_civilian_user,svc_central_identity,skip,8,4,4,,,,1361.25,3027.00
DEGRADED,zt_civilian_user,svc_critical,blocked,10,0,10,10,10,100.00,0.00,2012.00
DEGRADED,zt_civilian_user,svc_external,skip,9,3,6,,,,44.00,2032.00
DEGRADED,zt_civilian_user,svc_noncritical,skip,20,20,0,,,,81.80,215.00
DEGRADED,zt_responder,svc_alert,success,17,15,2,15,17,88.24,154.73,2017.00
DEGRADED,zt_responder,svc_central_identity,success,7,2,5,2,7,28.57,2371.50,3011.00
DEGRADED,zt_responder,svc_critical,success,9,0,9,0,9,0.00,0.00,2031.00
DEGRADED,zt_responder,svc_external,blocked,10,3,7,7,10,70.00,45.00,2032.00
DEGRADED,zt_responder,svc_noncritical,success,17,15,2,15,17,88.24,155.53,2017.00
DEGRADED,zt_sensor,svc_alert,skip,9,3,6,,,,43.33,2032.00
DEGRADED,zt_sensor,svc_central_identity,skip,8,5,3,,,,1499.20,3009.00
DEGRADED,zt_sensor,svc_external,skip,9,3,6,,,,42.33,2032.00
ISLANDED,zt_attacker,svc_alert,skip,7,0,7,,,,0.00,2015.00
ISLANDED,zt_attacker,svc_critical,blocked,10,0,10,10,10,100.00,0.00,2017.00
ISLANDED,zt_attacker,svc_external,skip,7,0,7,,,,0.00,2014.00
ISLANDED,zt_civilian_user,svc_central_identity,skip,6,0,6,,,,0.00,2029.00
ISLANDED,zt_civilian_user,svc_critical,blocked,10,0,10,10,10,100.00,0.00,2031.00
ISLANDED,zt_civilian_user,svc_external,skip,7,0,7,,,,0.00,2015.00
